E V T
-6.799691E+02 -1.695251E+03 +1.015282E+03
-6.799755E+02 -1.696719E+03 +1.016744E+03
-6.799750E+02 -1.700715E+03 +1.020740E+03
-6.799702E+02 -1.704111E+03 +1.024141E+03
-6.799707E+02 -1.703664E+03 +1.023693E+03
-6.799735E+02 -1.699288E+03 +1.019315E+03
-6.799737E+02 -1.693818E+03 +1.013844E+03
-6.799824E+02 -1.690590E+03 +1.010607E+03
-6.799803E+02 -1.691955E+03 +1.011975E+03
-6.799847E+02 -1.698622E+03 +1.018638E+03
-6.799932E+02 -1.707902E+03 +1.027909E+03
-6.799973E+02 -1.714218E+03 +1.034221E+03
-6.799889E+02 -1.715529E+03 +1.035540E+03
-6.799914E+02 -1.712284E+03 +1.032293E+03
-6.799832E+02 -1.704590E+03 +1.024606E+03
-6.799888E+02 -1.695025E+03 +1.015036E+03
-6.799806E+02 -1.686255E+03 +1.006275E+03
-6.799776E+02 -1.679139E+03 +9.991616E+02
-6.799761E+02 -1.670660E+03 +9.906842E+02
-6.799661E+02 -1.660684E+03 +9.807183E+02
-6.799547E+02 -1.654608E+03 +9.746535E+02
-6.799550E+02 -1.658243E+03 +9.782879E+02
-6.799584E+02 -1.669397E+03 +9.894390E+02
-6.799556E+02 -1.678785E+03 +9.988292E+02
-6.799551E+02 -1.680270E+03 +1.000315E+03
-6.799635E+02 -1.674263E+03 +9.942996E+02
-6.799666E+02 -1.665338E+03 +9.853713E+02
-6.799642E+02 -1.660662E+03 +9.806974E+02
-6.799671E+02 -1.665157E+03 +9.851901E+02
-6.799671E+02 -1.673839E+03 +9.938723E+02
-6.799758E+02 -1.681905E+03 +1.001930E+03
-6.799794E+02 -1.688087E+03 +1.008107E+03
-6.799861E+02 -1.688142E+03 +1.008156E+03
-6.799806E+02 -1.682817E+03 +1.002836E+03
-6.799768E+02 -1.679131E+03 +9.991544E+02
-6.799929E+02 -1.679850E+03 +9.998572E+02
-6.799852E+02 -1.684108E+03 +1.004123E+03
-6.799929E+02 -1.692398E+03 +1.012405E+03
-6.799860E+02 -1.701275E+03 +1.021289E+03
-6.799986E+02 -1.705819E+03 +1.025820E+03
-6.799993E+02 -1.706011E+03 +1.026012E+03
-6.799957E+02 -1.705539E+03 +1.025543E+03
-6.799909E+02 -1.704256E+03 +1.024265E+03
-6.799916E+02 -1.701180E+03 +1.021188E+03
-6.799873E+02 -1.702233E+03 +1.022246E+03
-6.799776E+02 -1.707661E+03 +1.027683E+03
-6.799766E+02 -1.709251E+03 +1.029274E+03
-6.799784E+02 -1.705047E+03 +1.025069E+03
-6.799868E+02 -1.696884E+03 +1.016897E+03
-6.799801E+02 -1.686534E+03 +1.006554E+03
-6.799760E+02 -1.677779E+03 +9.978032E+02
-6.799896E+02 -1.674400E+03 +9.944102E+02
-6.799839E+02 -1.676621E+03 +9.966367E+02
-6.799863E+02 -1.684221E+03 +1.004235E+03
-6.799868E+02 -1.694253E+03 +1.014266E+03
-6.799838E+02 -1.699814E+03 +1.019831E+03
-6.799853E+02 -1.700580E+03 +1.020595E+03
-6.799863E+02 -1.700139E+03 +1.020153E+03
-6.799881E+02 -1.692439E+03 +1.012451E+03
-6.799914E+02 -1.678036E+03 +9.980447E+02
-6.799901E+02 -1.671003E+03 +9.910129E+02
-6.800052E+02 -1.676057E+03 +9.960521E+02
-6.800073E+02 -1.684892E+03 +1.004884E+03
-6.799978E+02 -1.695084E+03 +1.015086E+03
-6.799955E+02 -1.707337E+03 +1.027341E+03
-6.799930E+02 -1.719208E+03 +1.039215E+03
-6.799820E+02 -1.726307E+03 +1.046325E+03
-6.799884E+02 -1.725460E+03 +1.045471E+03
-6.799891E+02 -1.717142E+03 +1.037153E+03
-6.799919E+02 -1.705008E+03 +1.025016E+03
-6.799842E+02 -1.691655E+03 +1.011671E+03
-6.799865E+02 -1.678175E+03 +9.981888E+02
-6.799891E+02 -1.666093E+03 +9.861041E+02
-6.799827E+02 -1.659651E+03 +9.796679E+02
-6.799865E+02 -1.662908E+03 +9.829219E+02
-6.799845E+02 -1.671921E+03 +9.919367E+02
-6.799878E+02 -1.681519E+03 +1.001531E+03
-6.799848E+02 -1.688696E+03 +1.008711E+03
-6.799851E+02 -1.689667E+03 +1.009682E+03
-6.799914E+02 -1.682403E+03 +1.002412E+03
-6.799908E+02 -1.673827E+03 +9.938358E+02
-6.799965E+02 -1.676616E+03 +9.966195E+02
-6.799896E+02 -1.688316E+03 +1.008326E+03
-6.799971E+02 -1.701157E+03 +1.021160E+03
-6.799920E+02 -1.711083E+03 +1.031091E+03
-6.799950E+02 -1.713883E+03 +1.033888E+03
-6.799881E+02 -1.711109E+03 +1.031121E+03
-6.799985E+02 -1.708879E+03 +1.028880E+03
-6.799935E+02 -1.707978E+03 +1.027984E+03
-6.799868E+02 -1.704626E+03 +1.024639E+03
-6.799822E+02 -1.697836E+03 +1.017854E+03
-6.799786E+02 -1.687874E+03 +1.007895E+03
-6.799824E+02 -1.675428E+03 +9.954457E+02
-6.799811E+02 -1.664376E+03 +9.843946E+02
-6.799814E+02 -1.660224E+03 +9.802426E+02
-6.799934E+02 -1.665387E+03 +9.853933E+02
-6.799914E+02 -1.675328E+03 +9.953370E+02
-6.799950E+02 -1.683085E+03 +1.003090E+03
-6.799981E+02 -1.685157E+03 +1.005159E+03
-6.799955E+02 -1.682576E+03 +1.002581E+03
-6.800019E+02 -1.677418E+03 +9.974162E+02
-6.800088E+02 -1.670202E+03 +9.901929E+02
-6.800121E+02 -1.663491E+03 +9.834794E+02
-6.800088E+02 -1.664528E+03 +9.845197E+02
-6.800129E+02 -1.673930E+03 +9.939167E+02
-6.800063E+02 -1.682374E+03 +1.002367E+03
-6.800075E+02 -1.685782E+03 +1.005774E+03
-6.800057E+02 -1.686550E+03 +1.006545E+03
-6.800001E+02 -1.687753E+03 +1.007753E+03
-6.800021E+02 -1.692614E+03 +1.012612E+03
-6.799925E+02 -1.699778E+03 +1.019785E+03
-6.800004E+02 -1.702829E+03 +1.022829E+03
-6.799953E+02 -1.700348E+03 +1.020353E+03
-6.800032E+02 -1.693985E+03 +1.013981E+03
-6.800114E+02 -1.684961E+03 +1.004949E+03
-6.800080E+02 -1.676043E+03 +9.960351E+02
-6.800042E+02 -1.672145E+03 +9.921412E+02
-6.800157E+02 -1.673863E+03 +9.938473E+02
-6.800196E+02 -1.678013E+03 +9.979932E+02
-6.800231E+02 -1.683872E+03 +1.003849E+03
-6.800211E+02 -1.690576E+03 +1.010555E+03
-6.800142E+02 -1.693696E+03 +1.013681E+03
-6.800124E+02 -1.692223E+03 +1.012210E+03
-6.800144E+02 -1.692097E+03 +1.012082E+03
-6.800116E+02 -1.697662E+03 +1.017650E+03
-6.800045E+02 -1.703621E+03 +1.023616E+03
-6.799978E+02 -1.702571E+03 +1.022573E+03
-6.799922E+02 -1.694716E+03 +1.014724E+03
-6.799878E+02 -1.685786E+03 +1.005798E+03
-6.799775E+02 -1.680517E+03 +1.000540E+03
-6.799724E+02 -1.680484E+03 +1.000511E+03
-6.799676E+02 -1.684903E+03 +1.004935E+03
-6.799655E+02 -1.692592E+03 +1.012626E+03
-6.799701E+02 -1.702334E+03 +1.022364E+03
-6.799722E+02 -1.710408E+03 +1.030435E+03
-6.799651E+02 -1.711672E+03 +1.031707E+03
-6.799725E+02 -1.704561E+03 +1.024588E+03
-6.799635E+02 -1.692825E+03 +1.012862E+03
-6.799684E+02 -1.680140E+03 +1.000172E+03
-6.799714E+02 -1.668682E+03 +9.887107E+02
-6.799801E+02 -1.661530E+03 +9.815501E+02
-6.799747E+02 -1.660848E+03 +9.808732E+02
-6.799609E+02 -1.665567E+03 +9.856058E+02
-6.799630E+02 -1.674066E+03 +9.941034E+02
-6.799633E+02 -1.684721E+03 +1.004758E+03
-6.799587E+02 -1.694254E+03 +1.014296E+03
-6.799540E+02 -1.700593E+03 +1.020639E+03
-6.799632E+02 -1.704662E+03 +1.024699E+03
-6.799566E+02 -1.707607E+03 +1.027651E+03
-6.799523E+02 -1.707918E+03 +1.027966E+03
-6.799507E+02 -1.702930E+03 +1.022979E+03
-6.799568E+02 -1.693390E+03 +1.013433E+03
-6.799665E+02 -1.684002E+03 +1.004036E+03
-6.799673E+02 -1.678291E+03 +9.983241E+02
-6.799653E+02 -1.674355E+03 +9.943902E+02
-6.799724E+02 -1.671117E+03 +9.911444E+02
-6.799750E+02 -1.670414E+03 +9.904390E+02
-6.799845E+02 -1.671822E+03 +9.918377E+02
-6.799845E+02 -1.673924E+03 +9.939395E+02
-6.799816E+02 -1.676839E+03 +9.968575E+02
-6.799786E+02 -1.682561E+03 +1.002582E+03
-6.799840E+02 -1.689259E+03 +1.009275E+03
-6.799929E+02 -1.692961E+03 +1.012968E+03
-6.799829E+02 -1.694466E+03 +1.014483E+03
-6.799830E+02 -1.695575E+03 +1.015592E+03
-6.799801E+02 -1.694334E+03 +1.014353E+03
-6.799758E+02 -1.690840E+03 +1.010865E+03
-6.799775E+02 -1.688998E+03 +1.009020E+03
-6.799778E+02 -1.689454E+03 +1.009476E+03
-6.799689E+02 -1.687640E+03 +1.007671E+03
-6.799676E+02 -1.680614E+03 +1.000646E+03
-6.799747E+02 -1.673628E+03 +9.936535E+02
-6.799742E+02 -1.673868E+03 +9.938940E+02
-6.799868E+02 -1.681583E+03 +1.001596E+03
-6.799832E+02 -1.691809E+03 +1.011826E+03
-6.799776E+02 -1.698616E+03 +1.018638E+03
-6.799791E+02 -1.698715E+03 +1.018736E+03
-6.799801E+02 -1.693117E+03 +1.013137E+03
-6.799862E+02 -1.686063E+03 +1.006077E+03
-6.799888E+02 -1.681027E+03 +1.001038E+03
-6.799868E+02 -1.677300E+03 +9.973133E+02
-6.799888E+02 -1.674598E+03 +9.946088E+02
-6.799916E+02 -1.675822E+03 +9.958300E+02
-6.799990E+02 -1.682432E+03 +1.002433E+03
-6.799988E+02 -1.692217E+03 +1.012218E+03
-6.799973E+02 -1.702139E+03 +1.022142E+03
-6.799940E+02 -1.709946E+03 +1.029952E+03
-6.799891E+02 -1.713379E+03 +1.033390E+03
-6.799855E+02 -1.711211E+03 +1.031226E+03
-6.799870E+02 -1.704408E+03 +1.024421E+03
-6.799860E+02 -1.697123E+03 +1.017137E+03
-6.799742E+02 -1.693862E+03 +1.013887E+03
-6.799683E+02 -1.695001E+03 +1.015032E+03
-6.799655E+02 -1.697743E+03 +1.017777E+03
-6.799591E+02 -1.700783E+03 +1.020823E+03
-6.799660E+02 -1.704916E+03 +1.024950E+03
-6.799694E+02 -1.708660E+03 +1.028690E+03
-6.799689E+02 -1.707520E+03 +1.027551E+03
-6.799712E+02 -1.699348E+03 +1.019377E+03
-6.799786E+02 -1.688200E+03 +1.008222E+03
-6.799727E+02 -1.680540E+03 +1.000568E+03
-6.799727E+02 -1.678141E+03 +9.981686E+02
-6.799783E+02 -1.679701E+03 +9.997227E+02
-6.799725E+02 -1.682666E+03 +1.002693E+03
-6.799712E+02 -1.685307E+03 +1.005335E+03
-6.799658E+02 -1.689266E+03 +1.009300E+03
-6.799591E+02 -1.695077E+03 +1.015118E+03
