rx ry rz vx vy vz ax ay az
-6.310845E+00 +7.982122E+00 +5.601710E-01 +5.262723E-01 +1.080514E-02 +1.824010E-02 +1.448063E+00 -1.733255E+00 -1.555846E+00
-1.503357E+00 +1.640120E+00 +4.019803E+00 -1.499996E+00 +1.860611E+00 -6.499798E-01 -1.853295E+01 -1.418475E+00 -3.608251E+00
-2.234706E+00 +5.141329E+00 -5.727704E+00 +9.526985E-02 +1.348343E-01 -4.350467E-01 -2.512412E+00 +3.928675E+00 -2.767900E+00
+4.747551E+00 +6.806903E+00 +3.452210E+00 +1.458232E+00 -2.321278E-01 -1.723584E+00 +1.978427E+00 +2.714308E+00 -2.012731E+00
+1.172422E+00 +1.234513E+01 -2.625186E+00 -6.522646E-01 +3.359061E-01 +1.426541E+00 +3.965744E-01 +3.761173E-01 -3.930265E+00
+3.680984E+00 +1.311190E+01 +7.508421E-02 +3.034143E-01 -1.870541E+00 +7.228898E-01 +8.913874E+00 +8.122446E-01 -1.159717E+01
+9.801627E+00 +6.395253E+00 -6.135869E-01 +8.721513E-01 -1.864011E-01 -6.442677E-01 -1.417310E+01 -2.195678E+00 +1.872472E+00
-2.067927E+00 +6.387300E+00 +1.837635E+01 +8.974159E-02 -2.701350E+00 -1.435051E+00 -1.134847E+01 -7.493954E+00 +2.388349E+00
+1.854962E-01 +1.080718E+01 +1.093670E+01 +4.346737E-01 -2.772971E+00 +8.307845E-01 -4.790515E-01 +2.611640E-04 +1.290581E+00
-8.492142E-01 +3.695597E+00 +9.965334E+00 +1.078886E+00 +4.007466E-01 +1.386259E+00 -4.639568E+00 +1.821446E+01 -4.358401E+01
-1.665502E+00 +1.340484E+01 +8.068320E+00 -1.161944E+00 +1.691103E+00 -5.229630E-01 +1.619946E+00 -3.367882E+00 +7.155808E+00
-4.296588E+00 +7.602049E+00 +3.316499E+00 -1.542056E+00 +7.224681E-01 -4.508466E+00 -6.546717E+00 -2.347759E+01 -9.029220E+00
+2.704517E+00 +9.417658E+00 +1.073004E+01 -4.906357E-01 +7.415516E-02 -1.243776E+00 -1.526782E+01 +5.029995E+00 -5.690146E+00
