rx ry rz vx vy vz ax ay az
 3.195858E+00  1.954206E+00  6.986521E+00  1.517194E+00  9.056923E-01 -9.565521E-01  1.421549E+02  5.244015E+02  3.155595E+01
 2.827193E+00  2.926272E+00  6.053554E+00  1.035783E+00  7.197783E-01 -1.666037E+00  6.743923E+02  3.180900E+01  1.786851E+02
 2.011684E+00  1.943303E+00  7.806207E+00 -2.289877E-01 -1.523007E+00  6.717419E-01  6.038341E+02 -6.062260E+02  6.210422E+02
 1.907831E+00  2.947967E+00  9.135496E+00 -6.169997E-01 -4.358981E-01 -1.733681E+00 -7.356503E+02  7.762680E+02  1.977901E+01
 3.180598E+00  1.853208E+00  9.040933E+00  1.246432E+00  1.481714E-01 -1.306632E+00 -2.290935E+02 -3.688201E+02 -2.420804E+02
 2.850286E+00  3.190328E+00  8.123849E+00 -5.639284E-01  4.480321E-01 -4.528805E-01  3.014276E+02 -2.751210E+01 -8.507817E+01
 1.828531E+00  4.083179E+00 -1.750815E-01 -1.006102E+00  8.518372E-01 -5.922297E-01 -4.777298E+02 -2.964138E+02  2.221123E+02
 2.133538E+00  5.093930E+00  1.100282E+00  1.674326E+00 -1.399322E+00 -1.589125E+00  1.044961E+03 -8.550805E+02 -1.103988E+02
 2.985167E+00  3.914965E+00  9.014816E-01 -6.195767E-01  1.710998E+00  1.281432E+00 -6.185202E+02 -5.353365E+01  8.433889E+01
 2.900412E+00  4.899596E+00 -1.825307E-01  1.687737E+00 -1.775752E+00 -1.633252E+00  2.585378E+02  2.576001E+03  4.527792E+02
 2.066513E+00  4.035365E+00  2.134076E+00  2.760638E-01 -1.812565E+00 -1.109126E+00  8.885342E+01 -6.863600E+02 -2.946360E+02
 2.191853E+00  4.986191E+00  2.972216E+00  5.950713E-01  3.159672E-01 -1.873035E+00  7.719195E+02 -1.139825E+03  5.106245E+02
 3.056577E+00  3.922007E+00  3.046300E+00  1.841198E+00 -9.087868E-01  8.940893E-01 -4.814288E+02 -1.317723E+02 -1.560591E+02
 3.040344E+00  4.935646E+00  2.062340E+00  1.507363E+00  9.727808E-01  2.006634E+00 -2.254991E+02  6.949430E+02  3.868846E+01
 2.070636E+00  4.095857E+00  4.152180E+00 -1.252499E+00 -1.337107E+00 -3.096384E-01 -1.446865E+03  1.176176E+03 -5.876635E+02
 2.063891E+00  4.818668E+00  5.014147E+00 -6.386707E-01 -4.352178E-01  1.952559E+00  1.155158E+03  3.593596E+02 -1.225082E+02
 2.879472E+00  4.158727E+00  4.970816E+00 -2.500150E-01 -1.128616E+00  1.223166E+00  5.174634E+02  3.706081E+02  3.713914E+02
 3.132141E+00  4.952969E+00  3.940343E+00  1.773061E-02 -1.152335E-01  8.187794E-01 -4.856508E+02 -1.548831E+03  6.559963E+02
 2.124744E+00  3.960494E+00  6.020130E+00 -1.856639E+00  1.412644E+00 -5.835060E-04  9.816030E+02 -1.295569E+03 -1.394674E+03
 1.994668E+00  5.041002E+00  7.154056E+00  4.432635E-01 -1.197300E+00  5.774111E-01 -1.952040E+03  1.446355E+03 -2.102493E+02
 3.196977E+00  3.889678E+00  7.097003E+00 -1.512348E+00 -1.237316E+00 -3.710235E-01  5.223300E+01 -9.078707E+02 -9.402343E+01
 2.965863E+00  5.172185E+00  6.085628E+00  1.159266E+00  5.545788E-01 -3.964595E-01  1.432185E+03 -5.641059E+02  4.668850E+02
 1.864860E+00  3.884741E+00  7.901028E+00  1.513705E+00  6.664237E-01 -1.557593E+00  1.922263E+02 -4.511675E+02  8.132432E+02
 2.177042E+00  4.831618E+00  8.976182E+00  1.326926E+00  2.015649E+00  5.415452E-01 -1.915087E+03 -2.641992E+02  4.746384E+02
 3.044376E+00  3.869804E+00  8.912363E+00  1.792021E+00 -1.794602E+00  1.674743E+00  7.296020E+02  2.163361E+02 -9.954295E+01
 2.892778E+00  4.980568E+00  7.953587E+00  1.384927E+00 -1.275560E-01 -1.720285E-01  7.281249E+02  2.527135E+02 -1.201952E+02
 2.175538E+00  5.824673E+00  9.483490E-02 -1.799074E+00  1.121390E-01 -3.038203E-01  1.912898E+03  5.760190E+02 -8.938320E+02
 2.106814E+00  7.059409E+00  9.455398E-01 -1.228419E+00  9.679212E-01 -3.070908E-01  1.024826E+03 -4.030572E+03 -8.658041E+02
 2.820492E+00  5.976836E+00  1.138362E+00  1.873983E+00 -4.037353E-01  6.045305E-01 -1.474408E+02  2.145260E+03  7.023314E+01
 2.968213E+00  6.819668E+00  1.005630E-01 -2.735056E-01 -1.876623E+00 -1.302976E+00  3.285966E+02  1.010180E+03 -6.624434E+02
 1.907356E+00  5.971836E+00  1.820979E+00 -1.391853E+00 -7.423414E-01 -1.366597E+00 -3.422398E+03 -1.005778E+03  9.030636E+02
 2.069258E+00  7.008726E+00  3.159464E+00  1.562051E+00  1.636073E+00 -1.584167E+00  1.499441E+03  1.533301E+03  4.200554E+02
 2.817963E+00  6.000832E+00  2.983495E+00 -1.851975E+00 -1.375013E+00 -9.657778E-01  3.277576E+02  1.181721E+03  1.291275E+03
 3.059402E+00  6.883323E+00  2.065082E+00  3.003219E-01  1.633245E+00  1.782883E+00 -2.180542E+03 -1.228976E+03 -2.382421E+03
 2.038609E+00  5.854799E+00  3.863892E+00  1.685045E+00  1.782205E+00  1.221277E+00  1.576547E+03  2.106262E+03  1.361365E+03
 2.064002E+00  6.872732E+00  4.807429E+00  3.849976E-01  1.194169E+00 -1.823545E+00 -2.769450E+02  1.287759E+03  5.887634E+02
 2.919851E+00  5.947909E+00  5.022132E+00  9.396833E-01  6.914556E-01 -1.207289E+00 -2.227017E+03 -1.619960E+03 -7.752442E+02
 2.851917E+00  6.975000E+00  4.140439E+00 -1.793666E+00  4.027711E-01 -1.909726E+00 -3.953817E+02 -2.055453E+03  3.711720E+02
 2.046699E+00  6.025142E+00  5.868699E+00 -9.732386E-02  1.374353E+00 -1.886122E+00  1.787832E+03 -3.801705E+03 -2.120188E+03
 1.827745E+00  7.157138E+00  6.812721E+00  6.181284E-02  1.667552E+00  1.233433E-01 -6.085734E+03  2.348068E+03  1.404523E+03
 3.067664E+00  6.064028E+00  7.101246E+00 -6.110720E-01  9.716019E-01 -3.832008E-01  3.308617E+03 -1.781775E+02 -2.845602E+03
 3.041626E+00  7.093719E+00  5.966536E+00  1.369725E-01  1.838040E+00 -1.782637E+00  2.467649E+03 -3.873325E+03  1.748273E+03
 2.137573E+00  5.989577E+00  7.805912E+00  8.513869E-01 -1.907299E+00 -9.698057E-01 -8.037315E+02  5.260530E+03  6.895582E+02
 2.048360E+00  6.820046E+00  8.973139E+00 -7.768421E-01 -1.726358E+00 -3.194133E-01 -8.420765E+02 -1.529360E+02  7.971356E+02
 2.833735E+00  6.027629E+00  9.002541E+00  8.831750E-01 -3.461700E-01 -6.959740E-01  9.615501E+01 -4.299229E+02 -3.921833E+02
